Portugal
Aveiro,Porto,Viseu,Coimbra,Leiria
Braga,Viana C.,V. Real,Porto
Bragança,V. Real,Guarda
Beja,Evora,Faro,Setúbal
C. Branco,Coimbra,Guarda,Portalegre,Evora
Coimbra,Viseu,Leiria
Evora,Lisboa,Santarém,Portalegre,Setúbal
Faro,Setúbal,Lisboa
Guarda,V. Real,Viseu
Leiria,Lisboa,Santarém
Lisboa,Santarém,Setúbal
Porto,Viana C.,V. Real,Viseu
V. Real,Viseu
